=== VM SYSTEM REGISTERS ===
Register_Name	Physical_Address	Value_Hex	Value_Dec	Meaning
ADDR_SP	0x20000200	0x20000000	536870912	Data Stack Pointer (Top of Stack)
ADDR_RP	0x20000204	0x20000100	536871168	Return Stack Pointer
ADDR_IP	0x2000021C	0x00000000	0	Instruction Pointer (Runtimes Loop)
ADDR_LATEST_WORD	0x20000210	0x00000000	0	Latest Compiled Word Address
ADDR_DICT_FREE_PTR	0x20000214	0x00000000	0	Dictionary Free Pointer (Compilation Frontier)
ADDR_STATE	0x20000218	0x00000000	0	EXECUTION MODE

=== DATA STACK SNAPSHOT ===
Stack_Index	Memory_Address	Value_Hex	Value_Dec	Position
N/A	N/A	N/A	N/A	STACK IS EMPTY

=== RETURN STACK SNAPSHOT ===
Stack_Index	Memory_Address	Value_Hex	Value_Dec	Position
N/A	N/A	N/A	N/A	RETURN STACK IS EMPTY

=== USER DICTIONARY CHAIN (SPI-RAM) ===
Word_Index	Word_Header_Addr	Link_Field_Addr	Prev_Word_Ptr_Hex	Flags_Raw	Name_Len	Immediate_Flag	Word_Name	Body_Code_Addr_XT	Body_Hex_Dump_First_16_Bytes
N/A	N/A	N/A	N/A	N/A	N/A	N/A	SPI-RAM DICTIONARY IS EMPTY	N/A	N/A

=== BUILTIN CORE DICTIONARY (FLASH) ===
Builtin_Index	Builtin_Word_Struct_Addr	Prev_Word_Builtin_Ptr	Flags_Raw	Name_Len	Immediate_Flag	Word_Name	Execution_Token_ID_Or_Addr
0	0x5d5fa8545d00	0x5d5fa8545ce0	0x01	1	NORMAL	:	0x00000017
1	0x5d5fa8545ce0	0x5d5fa8545cc0	0x81	1	IMMEDIATE	;	0x00000016
2	0x5d5fa8545cc0	0x5d5fa8545ca0	0x82	2	IMMEDIATE	if	0x00000025
3	0x5d5fa8545ca0	0x5d5fa8545c80	0x84	4	IMMEDIATE	else	0x00000026
4	0x5d5fa8545c80	0x5d5fa8545c60	0x84	4	IMMEDIATE	then	0x00000027
5	0x5d5fa8545c60	0x5d5fa8545c40	0x81	1	IMMEDIATE	."	0x00000018
6	0x5d5fa8545c40	0x5d5fa8545c20	0x82	2	IMMEDIATE	s"	0x0000001A
7	0x5d5fa8545c20	0x5d5fa8545c00	0x81	1	IMMEDIATE	\	0x0000002B
8	0x5d5fa8545c00	0x5d5fa8545be0	0x04	4	NORMAL	emit	0x0000002E
9	0x5d5fa8545be0	0x5d5fa8545bc0	0x04	4	NORMAL	CHAR	0x0000002C
10	0x5d5fa8545bc0	0x5d5fa8545ba0	0x86	6	IMMEDIATE	[CHAR]	0x0000002D
11	0x5d5fa8545ba0	0x5d5fa8545b80	0x08	8	NORMAL	included	0x0000001C
12	0x5d5fa8545b80	0x5d5fa8545b60	0x85	5	IMMEDIATE	begin	0x00000028
13	0x5d5fa8545b60	0x5d5fa8545b40	0x85	5	IMMEDIATE	until	0x00000029
14	0x5d5fa8545b40	0x5d5fa8545b20	0x85	5	IMMEDIATE	again	0x0000002A
15	0x5d5fa8545b20	0x5d5fa8545b00	0x08	8	NORMAL	mem-dump	0x0000001D
16	0x5d5fa8545b00	0x5d5fa8545ae0	0x08	8	NORMAL	allocate	0x00000015
17	0x5d5fa8545ae0	0x5d5fa8545ac0	0x04	4	NORMAL	free	0x00000014
18	0x5d5fa8545ac0	0x5d5fa8545aa0	0x0B	11	NORMAL	alloc-chunk	0x00000013
19	0x5d5fa8545aa0	0x5d5fa8545a80	0x0A	10	NORMAL	free-chunk	0x00000012
20	0x5d5fa8545a80	0x5d5fa8545a60	0x09	9	NORMAL	fast-cell	0x00000011
21	0x5d5fa8545a60	0x5d5fa8545a40	0x0E	14	NORMAL	fast-cell-free	0x00000010
22	0x5d5fa8545a40	0x5d5fa8545a20	0x03	3	NORMAL	dup	0x0000000A
23	0x5d5fa8545a20	0x5d5fa8545a00	0x02	2	NORMAL	0=	0x0000000B
24	0x5d5fa8545a00	0x5d5fa85459e0	0x01	1	NORMAL	=	0x0000000C
25	0x5d5fa85459e0	0x5d5fa85459c0	0x02	2	NORMAL	<>	0x0000000D
26	0x5d5fa85459c0	0x5d5fa85459a0	0x01	1	NORMAL	<	0x0000000E
27	0x5d5fa85459a0	0x5d5fa8545980	0x01	1	NORMAL	>	0x0000000F
28	0x5d5fa8545980	0x5d5fa8545960	0x01	1	NORMAL	!	0x0000001E
29	0x5d5fa8545960	0x5d5fa8545940	0x01	1	NORMAL	@	0x0000001F
30	0x5d5fa8545940	0x5d5fa8545920	0x02	2	NORMAL	c!	0x00000020
31	0x5d5fa8545920	0x5d5fa8545900	0x02	2	NORMAL	c@	0x00000021
32	0x5d5fa8545900	0x5d5fa85458e0	0x04	4	NORMAL	swap	0x00000009
33	0x5d5fa85458e0	0x5d5fa85458c0	0x04	4	NORMAL	over	0x00000008
34	0x5d5fa85458c0	0x5d5fa85458a0	0x04	4	NORMAL	drop	0x00000007
35	0x5d5fa85458a0	0x5d5fa8545880	0x01	1	NORMAL	+	0x00000006
36	0x5d5fa8545880	0x5d5fa8545860	0x01	1	NORMAL	-	0x00000005
37	0x5d5fa8545860	0x5d5fa8545840	0x01	1	NORMAL	*	0x00000004
38	0x5d5fa8545840	0x5d5fa8545820	0x01	1	NORMAL	.	0x00000003
39	0x5d5fa8545820	(nil)	0x02	2	NORMAL	cr	0x00000002
